,callsign,runway,arrAirport,initialGateTimeOfDeparture,aircraftType,arrGate,node,optimalExit,optimalValue,meanValue,stdevValue
227,UAL948,16L,KDEN,02/19/2017 16:01:00,A320,B44,10,21,1533.76,,
228,UAL1412,16L,KDEN,02/19/2017 16:03:00,B738,B39,6,21,1166.84,,
229,UAL806,16L,KDEN,02/19/2017 16:55:00,B739,B33,5,21,983.72,,
230,UAL1251,16L,KDEN,02/19/2017 19:30:00,B738,B21,5,21,948.67,,
231,UAL764,16R,KDEN,02/19/2017 21:30:00,B739,B41,6,8,1411.08,,
232,UAL562,16L,KDEN,02/19/2017 20:35:00,A319,B23,5,21,942.69,,
233,UAL430,16R,KDEN,02/19/2017 21:30:00,A320,B20,9,5,1529.07,,
234,UAL459,16L,KDEN,02/19/2017 21:57:00,B739,B24,9,21,1088.64,,
235,UAL327,16L,KDEN,02/19/2017 23:04:00,A319,B43,6,21,1465.89,,
236,SKW5552,34R,KDEN,02/20/2017 00:39:00,E75L,B58,10,18,904.98,,
237,UAL1589,35R,KDEN,02/19/2017 23:56:00,B739,B27,5,39,1908.61,,
238,JBU993,35R,KDEN,02/20/2017 00:33:00,A320,A33,12,39,1407.88,,
239,UAL281,35L,KDEN,02/20/2017 04:00:00,B739,B41,6,46,978.42,,
240,NKS930,35L,KDEN,02/20/2017 04:41:00,A319,A52,15,49,795.91,,
241,SKW5313,34R,KDEN,02/20/2017 13:25:00,CRJ2,B94,11,20,587.67,,
242,FFT555,25,KDEN,02/20/2017 11:00:00,A320,A44,15,58,1202.36,,
243,SKW5281,35L,KDEN,02/20/2017 13:35:00,E75L,B55,6,46,370.76,,
244,SKW5182,34R,KDEN,02/20/2017 14:10:00,CRJ2,B95,11,24,460.21,,
245,DAL1677,34R,KDEN,02/20/2017 15:37:00,A319,A26,14,18,2125.15,,
246,SKW5231,34R,KDEN,02/20/2017 16:05:00,CRJ2,B90,11,20,582.75,,
247,SKW5221,35R,KDEN,02/20/2017 16:47:00,CRJ2,B87,8,39,646.48,,
248,AAL445,35R,KDEN,02/20/2017 14:25:00,A321,A48,15,39,1139.86,,
249,SWA233,35L,KDEN,02/20/2017 16:15:00,B737,C43,2,45,1349.6,,
250,AAL1025,35L,KDEN,02/20/2017 16:38:00,B738,A50,15,49,460.41,,
251,DAL1779,35L,KDEN,02/20/2017 17:30:00,B752,A27,12,49,962.04,,
252,FFT402,35L,KDEN,02/20/2017 17:20:00,A320,A44,15,49,1337.94,,
253,SKW5421,35L,KDEN,02/20/2017 19:30:00,CRJ2,B79,7,46,336.88,,
254,SWA1348,35R,KDEN,02/20/2017 18:40:00,B737,C43,2,39,1433.23,,
255,AAL2178,35L,KDEN,02/20/2017 18:40:00,A321,A48,15,49,1301.72,,
256,SWA1679,35R,KDEN,02/20/2017 19:30:00,B737,C45,2,39,2241.39,,
257,FFT664,35L,KDEN,02/20/2017 18:55:00,A320,A36,14,49,960.88,,
258,FFT560,35L,KDEN,02/20/2017 19:41:00,A320,A38,14,49,770.08,,
259,SWA3253,35R,KDEN,02/20/2017 18:20:00,B737,C40,4,39,1512.75,,
260,CPZ6006,16R,KDEN,02/20/2017 21:00:00,E75L,A51,13,12,382.74,,
261,CPZ5751,35L,KDEN,02/20/2017 23:15:00,E75S,A30,14,49,400.55,,
262,SKW5863,34R,KDEN,02/20/2017 23:24:00,E75L,B58,10,18,865.92,,
263,DAL923,35L,KDEN,02/20/2017 23:25:00,MD90,A26,14,49,1510.98,,
264,SWA924,35L,KDEN,02/21/2017 00:45:00,B737,C35,1,45,1383.55,,
265,SWA4442,16R,KDEN,02/20/2017 22:30:00,B737,C32,3,5,1405.56,,
266,AAL2362,16L,KDEN,02/20/2017 22:30:00,A321,A48,15,21,1570.67,,
267,FFT131,16L,KDEN,02/21/2017 00:55:00,A320,A40,15,21,1829.82,,
268,AAL81,16L,KDEN,02/21/2017 01:10:00,A321,A50,15,21,2418.67,,
